Month,State,Covid,ElectricityDemand,RegionalReferencePrice
1,New South Wales,No,8421.012723,94.7447708
1,Queensland,No,6819.611106,97.14447103
1,South Australia,No,1403.435887,123.5047318
1,Tasmania,No,1053.661964,100.507298
1,Victoria,No,4949.941161,127.1620258
2,New South Wales,No,8273.842339,86.83301496
2,Queensland,No,6893.935932,113.7630223
2,South Australia,No,1353.642534,100.2182967
2,Tasmania,No,1034.326844,104.5884228
2,Victoria,No,4920.624999,75.19616491
3,New South Wales,No,7884.458158,70.02655276
3,New South Wales,Yes,7217.026836,46.70522135
3,Queensland,No,6596.289279,72.50417416
3,Queensland,Yes,6122.944831,37.46165365
3,South Australia,No,1322.000022,92.23351619
3,South Australia,Yes,1204.208984,45.39647135
3,Tasmania,No,1008.229317,131.8752203
3,Tasmania,Yes,1008.274792,37.23932292
3,Victoria,No,4858.066974,80.91552908
3,Victoria,Yes,4585.615846,46.5675651
4,New South Wales,No,7424.707627,81.52899132
4,New South Wales,Yes,6926.293556,40.37615278
4,Queensland,No,6048.762297,73.40298958
4,Queensland,Yes,5916.503326,36.99411806
4,South Australia,No,1237.695878,90.40133507
4,South Australia,Yes,1161.601535,33.52448611
4,Tasmania,No,1041.093873,138.402217
4,Tasmania,Yes,1093.917625,23.36856944
4,Victoria,No,4648.088245,81.65671701
4,Victoria,Yes,4485.314431,34.85539583
5,New South Wales,No,7847.940808,78.21782594
5,New South Wales,Yes,7791.975497,41.9513172
5,Queensland,No,6013.954567,73.37734039
5,Queensland,Yes,5698.922023,31.1815793
5,South Australia,No,1301.311142,90.79705645
5,South Australia,Yes,1331.507722,37.25170699
5,Tasmania,No,1145.203128,80.63160282
5,Tasmania,Yes,1159.90334,34.75928091
5,Victoria,No,5016.119644,83.46516129
5,Victoria,Yes,4916.071593,38.29483871
6,New South Wales,No,8670.484323,93.64978125
6,New South Wales,Yes,8490.791333,48.08724306
6,Queensland,No,6134.314097,82.35486979
6,Queensland,Yes,5892.595222,33.70836111
6,South Australia,No,1460.330326,108.3567205
6,South Australia,Yes,1509.255653,50.26596528
6,Tasmania,No,1246.139937,86.69186111
6,Tasmania,Yes,1221.480375,36.40501389
6,Victoria,No,5491.187219,96.7061059
6,Victoria,Yes,5389.472139,48.64275
7,New South Wales,No,8656.395845,75.95128192
7,New South Wales,Yes,8690.13547,47.97413978
7,Queensland,No,6015.315867,68.46234879
7,Queensland,Yes,5925.447829,38.22668011
7,South Australia,No,1426.027898,130.6620514
7,South Australia,Yes,1514.65086,59.31447581
7,Tasmania,No,1241.95566,75.90616095
7,Tasmania,Yes,1246.584906,56.58028898
7,Victoria,No,5422.793033,84.49491095
7,Victoria,Yes,5514.670692,63.57429435
8,New South Wales,No,8383.449704,81.79777554
8,New South Wales,Yes,8300.883884,49.85756048
8,Queensland,No,5889.915104,68.44376512
8,Queensland,Yes,5575.409738,30.44740591
8,South Australia,No,1387.633322,80.68658434
8,South Australia,Yes,1417.428864,45.57957661
8,Tasmania,No,1224.193624,59.00149194
8,Tasmania,Yes,1190.085806,55.77018817
8,Victoria,No,5372.597224,82.48441364
8,Victoria,Yes,5144.821163,53.70594758
9,New South Wales,No,7600.976618,80.29940104
9,New South Wales,Yes,7255.074389,40.99790278
9,Queensland,No,5808.262469,66.44918576
9,Queensland,Yes,5522.871674,27.37440972
9,South Australia,No,1232.8897,74.25364236
9,South Australia,Yes,1169.467882,15.22191667
9,Tasmania,No,1144.368028,59.53278125
9,Tasmania,Yes,1130.636479,37.51609028
9,Victoria,No,4945.486885,79.52900347
9,Victoria,Yes,4521.474896,34.663875
10,New South Wales,No,7278.328058,81.8591045
10,New South Wales,Yes,6955.870249,57.86929435
10,Queensland,No,5916.36723,71.10950437
10,Queensland,Yes,5673.882843,35.2086828
10,South Australia,No,1111.599372,73.52338542
10,South Australia,Yes,1095.345282,32.96660618
10,Tasmania,No,1067.009115,76.23039315
10,Tasmania,Yes,1087.298797,41.50457661
10,Victoria,No,4640.04975,76.76429772
10,Victoria,Yes,4380.116411,44.77565188
11,New South Wales,No,7496.574373,79.45915278
11,New South Wales,Yes,6783.966392,45.89298969
11,Queensland,No,6251.487155,71.18258854
11,Queensland,Yes,5781.86732,42.58845361
11,South Australia,No,1192.844191,75.55271181
11,South Australia,Yes,998.8606186,42.54845361
11,Tasmania,No,1071.19755,71.38516319
11,Tasmania,Yes,996.0907216,51.71268041
11,Victoria,No,4690.358727,74.35447917
11,Victoria,Yes,4011.053093,45.31041237
12,New South Wales,No,7883.896401,65.93908266
12,Queensland,No,6547.637265,68.21505376
12,South Australia,No,1277.668063,89.31716398
12,Tasmania,No,1017.108548,64.13535786
12,Victoria,No,4618.128427,66.98526882
