Year,Month,Day,PublicHoliday
2016,1,1,Yes
2016,1,26,Yes
2016,3,14,Yes
2016,3,25,Yes
2016,3,26,Yes
2016,3,27,Yes
2016,3,28,Yes
2016,4,25,Yes
2016,6,13,Yes
2016,9,30,Yes
2016,11,1,Yes
2016,12,25,Yes
2016,12,26,Yes
2016,12,27,Yes
2017,1,1,Yes
2017,1,2,Yes
2017,1,26,Yes
2017,3,13,Yes
2017,4,14,Yes
2017,4,15,Yes
2017,4,16,Yes
2017,4,17,Yes
2017,4,25,Yes
2017,6,12,Yes
2017,9,29,Yes
2017,11,7,Yes
2017,12,25,Yes
2017,12,26,Yes
2018,1,1,Yes
2018,1,26,Yes
2018,3,12,Yes
2018,3,30,Yes
2018,3,31,Yes
2018,4,1,Yes
2018,4,2,Yes
2018,4,25,Yes
2018,6,11,Yes
2018,9,28,Yes
2018,11,6,Yes
2018,12,25,Yes
2018,12,26,Yes
2019,1,1,Yes
2019,1,28,Yes
2019,3,11,Yes
2019,4,19,Yes
2019,4,20,Yes
2019,4,21,Yes
2019,4,22,Yes
2019,4,25,Yes
2019,6,10,Yes
2019,9,27,Yes
2019,11,5,Yes
2019,12,25,Yes
2019,12,26,Yes
2020,1,1,Yes
2020,1,27,Yes
2020,3,9,Yes
2020,4,10,Yes
2020,4,11,Yes
2020,4,12,Yes
2020,4,13,Yes
2020,4,25,Yes
2020,6,8,Yes
2020,10,23,Yes
2020,11,3,Yes
2020,12,25,Yes
2020,12,26,Yes
2020,12,28,Yes
